"subject","trial_number","Cross_position","Circle_1","Position_1","Color_1","Circle_2","Position_2","Color_2","Position_3","Color_3","Position_4","Color_4","p_confidence","response_color","response_time","angle_1","angle_2","angle_3","angle_4","angle_1_cue","angle_2_cue","angle_3_cue","angle_4_cue"
"32854859","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"32854859","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"32854859","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"32854859","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"32854859","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","0","-1","0","0","0","0","0","0","0","0","0"
"988074894","0","0","0","0","0","0","0","0","0","0","0","0","7","8","1009","-110.122219261276129032","69.877780738723870968","-20.122219261276129032","159.8777807387238567571","-20.122219261276129032","159.8777807387238567571","69.877780738723870968","249.8777807387238567571"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","5","8","42252","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","3","4","14200","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","7","5","3752","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","1","1","5015","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","0","7","3697","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","2","6","3576","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","4","9","2921","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","0","2","3732","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","1","0","-1","59.807514874219776857","7","-1","239.807514874219776857","1","149.807514874219776857","3","329.8075148742198052787","2","3","3","17235","59.807514874219776857","239.807514874219776857","149.807514874219776857","329.8075148742198052787","149.807514874219776857","329.8075148742198052787","239.807514874219776857","419.8075148742198052787"
"988074894","2","0","-1","-118.1326313731569399579","9","-1","61.8673686268430600421","5","-28.1326313731569399579","9","151.867368626843074253","9","5","8","4376","-118.1326313731569399579","61.8673686268430600421","-28.1326313731569399579","151.867368626843074253","-28.1326313731569399579","151.867368626843074253","61.8673686268430600421","241.867368626843074253"
"988074894","2","0","-1","-118.1326313731569399579","9","-1","61.8673686268430600421","5","-28.1326313731569399579","9","151.867368626843074253","9","2","9","1026","-118.1326313731569399579","61.8673686268430600421","-28.1326313731569399579","151.867368626843074253","-28.1326313731569399579","151.867368626843074253","61.8673686268430600421","241.867368626843074253"
"988074894","2","0","-1","-118.1326313731569399579","9","-1","61.8673686268430600421","5","-28.1326313731569399579","9","151.867368626843074253","9","6","1","929","-118.1326313731569399579","61.8673686268430600421","-28.1326313731569399579","151.867368626843074253","-28.1326313731569399579","151.867368626843074253","61.8673686268430600421","241.867368626843074253"
